Pays;Type;Metal;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Papouasie-Nouvelle-Guinée;Production;Or;;;;;;;;;;;;37305;35937;38089;31137;34280;60782;71190;60587;58654;51701;51573;;;;;;;;;;;;;;;;;;;;;;
Perou;Production;Or;;;;;;;;;;;;8846;8933;9720;9898;9097;22606;24242;30318;47800;57743;64885;;;;;;;;;;;;;;;;;;;;;;
Philippines;Production;Or;;;;;;;;;;;;35430;32780;30492;29992;24591;25916;25609;24917;27307;27026;30180;;;;;;;;;;;;;;;;;;;;;;
Pologne;Production;Or;;;;;;;;;;;;;;;;;;;;628;510;598;;;;;;;;;;;;;;;;;;;;;;
Portugal;Production;Or;;;;;;;;;;;;303;320;317;294;276;264;149;;;;;;;;;;;;;;;;;;;;;;;;;;
Roumanie;Production;Or;;;;;;;;;;;;5000;5000;5000;6000;5000;6000;3700;4000;4000;4000;4000;;;;;;;;;;;;;;;;;;;;;;
Russie;Production;Or;;;;;;;;;;;;;;;;;;134521;144196;136818;127838;119856;;;;;;;;;;;;;;;;;;;;;;
Rwanda;Production;Or;;;;;;;;;;;;6;8;16;745;2163;963;1000;1000;100;;;;;;;;;;;;;;;;;;;;;;;;
Arabie saoudite;Production;Or;;;;;;;;;;;;;;;2901;3536;4808;6150;7525;7630;8080;7530;;;;;;;;;;;;;;;;;;;;;;
Serbie;Production;Or;;;;;;;;;;;;;;;;;;7330;3504;2437;2856;3250;;;;;;;;;;;;;;;;;;;;;;
Sierra Leone;Production;Or;;;;;;;;;;;;350;300;20;70;32;26;93;157;111;;;;;;;;;;;;;;;;;;;;;;;;
Slovaquie;Production;Or;;;;;;;;;;;;;;;;;;;;372;518;492;;;;;;;;;;;;;;;;;;;;;;
Îles Salomon;Production;Or;;;;;;;;;;;;98;74;50;39;53;50;;;17;16;4;;;;;;;;;;;;;;;;;;;;;;
Afrique du sud;Production;Or;;;;;;;;;;;;640026;607000;621000;607474;605100;601013;613036;619325;579909;523815;498250;;;;;;;;;;;;;;;;;;;;;;
Russie;Production;Or;;;;;;;;;;;;275000;260000;277600;304000;302000;240000;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Production;Or;;;;;;;;;;;;4092;5505;5571;7719;6814;7420;6572;8500;7813;4131;4241;;;;;;;;;;;;;;;;;;;;;;
Soudan;Production;Or;;;;;;;;;;;;53;76;50;150;150;150;973;1600;2500;3700;4500;;;;;;;;;;;;;;;;;;;;;;
Suède;Production;Or;;;;;;;;;;;;4514;4108;3590;5120;6326;6247;6164;6548;6364;6528;6145;;;;;;;;;;;;;;;;;;;;;;
Taiwan;Production;Or;;;;;;;;;;;;910;536;237;269;72;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tajikistan;Production;Or;;;;;;;;;;;;;;;;;;500;1100;500;300;1450;;;;;;;;;;;;;;;;;;;;;;
Tanzanie;Production;Or;;;;;;;;;;;;85;201;164;112;1643;3851;4525;3370;2861;320;318;;;;;;;;;;;;;;;;;;;;;;
Thailand;Production;Or;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
Turquie;Production;Or;;;;;;;;;;;;;;;;;;1250;1110;996;1200;1200;;;;;;;;;;;;;;;;;;;;;;
États-Unis;Production;Or;;;;;;;;;;;;116297;153870;200914;265731;294189;294062;330212;331013;326553;316913;326456;;;;;;;;;;;;;;;;;;;;;;
Ouganda;Production;Or;;;;;;;;;;;;;;;;75;776;18;104;216;3094;5067;;;;;;;;;;;;;;;;;;;;;;
Ouzbékistan;Production;Or;;;;;;;;;;;;;;;;;;75000;66600;64400;63600;78300;;;;;;;;;;;;;;;;;;;;;;
Venezuela;Production;Or;;;;;;;;;;;;2511;3417;3502;5113;6334;6733;8547;8985;10094;7259;11719;;;;;;;;;;;;;;;;;;;;;;
Vietnam;Production;Or;;;;;;;;;;;;;;;;;;;;;;2000;;;;;;;;;;;;;;;;;;;;;;
Serbie;Production;Or;;;;;;;;;;;;4498;5348;4620;4349;8190;6920;;;;;;;;;;;;;;;;;;;;;;;;;;;
République démocratique du Congo;Production;Or;;;;;;;;;;;;1958;4365;3301;2485;5224;6131;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zambie;Production;Or;;;;;;;;;;;;58;350;262;149;129;124;218;267;165;79;109;;;;;;;;;;;;;;;;;;;;;;
Zimbabwe;Production;Or;;;;;;;;;;;;14853;14693;14965;16003;16921;17820;18278;18565;20512;23959;24699;;;;;;;;;;;;;;;;;;;;;;
Australie;Production;Tantale;;;;;;;;;;;;140;121;277;555;573;668;925;;;;;;;;;;;;;;;;;;;;;;;;;;
Australie;Production;Tantale;;;;;;;;;;;;;;;;;;;337;262;365;920;;;;;;;;;;;;;;;;;;;;;;
Brézil;Production;Tantale;;;;;;;;;;;;414;446;402;480;310;290;200;175;175;175;190;;;;;;;;;;;;;;;;;;;;;;
Brézil;Production;Tantale;;;;;;;;;;;;30;17;16;13;9;10;15;11;37;21;8;;;;;;;;;;;;;;;;;;;;;;
Brézil;Production;Tantale;;;;;;;;;;;;30865;18323;35670;28398;32217;33450;30528;34065;33545;39989;36474;;;;;;;;;;;;;;;;;;;;;;
Burundi;Production;Tantale;;;;;;;;;;;;;;;;;;;;;42;37;;;;;;;;;;;;;;;;;;;;;;
Canada;Production;Tantale;;;;;;;;;;;;5600;4600;5600;5600;5600;5600;5500;5700;5600;5800;5700;;;;;;;;;;;;;;;;;;;;;;
Canada;Production;Tantale;;;;;;;;;;;;107;0;37;253;287;310;160;103;67;67;187;;;;;;;;;;;;;;;;;;;;;;
Chine;Production;Tantale;;;;;;;;;;;;;;;;;;;;;34;45;;;;;;;;;;;;;;;;;;;;;;
République démocratique du Congo;Production;Tantale;;;;;;;;;;;;;;;;;;29;20;;;;;;;;;;;;;;;;;;;;;;;;;
Ethiopie;Production;Tantale;;;;;;;;;;;;;;;;;;;;30;43;70;;;;;;;;;;;;;;;;;;;;;;
Malaisie;Production;Tantale;;;;;;;;;;;;34;228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malaisie;Production;Tantale;;;;;;;;;;;;18;141;40;242;316;401;397;1077;278;127;265;;;;;;;;;;;;;;;;;;;;;;
Mozambique;Production;Tantale;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mozambique;Production;Tantale;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Namibie;Production;Tantale;;;;;;;;;;;;8;14;7;6;4;0;;0;0;16;;;;;;;;;;;;;;;;;;;;;;;
Nigeria;Production;Tantale;;;;;;;;;;;;13;48;56;44;45;36;38;16;17;65;57;;;;;;;;;;;;;;;;;;;;;;
Nigeria;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;
Portugal;Production;Tantale;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rwanda;Production;Tantale;;;;;;;;;;;;28;12;7;64;110;200;100;100;6;72;99;;;;;;;;;;;;;;;;;;;;;;
Espagne;Production;Tantale;;;;;;;;;;;;13;10;11;11;10;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;
Thailand;Production;Tantale;;;;;;;;;;;;121;183;124;109;9;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thailand;Production;Tantale;;;;;;;;;;;;241;423;788;99;122;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
République démocratique du Congo;Production;Tantale;;;;;;;;;;;;38;57;34;48;36;57;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zimbabwe;Production;Tantale;;;;;;;;;;;;33;37;66;32;35;111;94;48;7;0;0;;;;;;;;;;;;;;;;;;;;;;
Australie;Production;Cobalt;2709;3250;3324;3265;3046;3704;2902;3132;2196;2125;3036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botswana;Production;Cobalt;81;198;165;261;294;226;254;254;223;259;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brézil;Production;Cobalt;;;;;;;;;70;70;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;Production;Cobalt;1354;1356;1485;1233;1640;2118;2080;1274;1410;2123;2067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chine;Production;Cobalt;;;;;;;;;270;270;270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuba;Production;Cobalt;1500;1500;1500;1400;1300;1500;1600;1500;1621;1393;1513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finlande;Production;Cobalt;1170;1207;1227;1623;1332;1360;1270;1293;1157;860;724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maroc;Production;Cobalt;1960;911;990;1133;1001;838;783;792;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nouvelle-Calédonie;Production;Cobalt;3420;3568;3504;2015;2414;2598;2343;1803;1385;1750;2171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Philippines;Production;Cobalt;106;492;1084;1192;1370;1331;997;466;165;64;911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afrique du sud;Production;Cobalt;;;;;;;;;400;500;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Russie;Production;Cobalt;1800;1800;1900;1950;2000;2150;2250;2350;2400;2600;2700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
République démocratique du Congo;Production;Cobalt;31300;10686;10208;13146;14029;14482;11124;5573;5370;9075;10571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zambie;Production;Cobalt;4900;2175;1704;2063;3176;3310;2570;2446;2407;3472;4415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zimbabwe;Production;Cobalt;;0;0;17;205;115;94;98;73;77;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australie;Production;Terre rare;4507;5310;9379;14992;16340;14079;13282;9562;15141;16260;18735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australie;Production;Terre rare;20;7;12;23;19;27;52;46;24;66;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brézil;Production;Terre rare;;1610;2441;2541;2318;2532;2460;1814;5256;3622;3953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Burundi;Production;Terre rare;82;139;165;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chine;Production;Terre rare;;;;;;;;6000;6000;8000;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inde;Production;Terre rare;3000;2994;2734;3303;3254;3395;3704;4000;4000;4000;4000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madagascar;Production;Terre rare;;;;;22;23;23;23;25;25;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malaisie;Production;Terre rare;3285;1879;1976;1607;466;327;320;582;1034;1095;5808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malaisie;Production;Terre rare;25;79;35;0;0;0;24;76;10;68;1124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nigeria;Production;Terre rare;20;20;20;20;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sri Lanka;Production;Terre rare;6;1;0;18;4;63;60;368;292;147;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thailand;Production;Terre rare;367;0;0;0;32;152;107;162;257;298;663;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thailand;Production;Terre rare;0;0;50;0;6;52;45;46;38;28;158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
États-Unis;Production;Terre rare;14940;13039;15359;14148;16515;15986;17082;17501;17083;25311;13428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
États-Unis;Production;Terre rare;750;600;600;1250;1200;700;850;400;400;450;450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
République démocratique du Congo;Production;Terre rare;298;125;96;77;92;51;35;32;15;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australie;Production;Tantale;150;118;157;139;147;202;264;166;117;145;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brézil;Production;Tantale;100;198;137;203;374;538;299;201;264;170;323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brézil;Production;Tantale;35;24;19;19;10;18;13;4;7;14;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brézil;Production;Tantale;14605;19003;15613;17877;28909;30700;29886;19593;16828;30087;31311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;Production;Tantale;3166;2498;4182;4054;4053;4105;4568;4748;2685;4600;4900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;Production;Tantale;332;261;261;295;295;214;283;164;0;0;106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malaisie;Production;Tantale;50;46;45;23;40;33;23;8;67;50;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malaisie;Production;Tantale;;;;;;0;0;0;0;99;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mozambique;Production;Tantale;44;56;40;40;32;25;43;30;23;10;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mozambique;Production;Tantale;46;30;39;39;34;26;34;22;14;7;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Namibie;Production;Tantale;;;;;;;;5;3;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nigeria;Production;Tantale;991;670;860;669;580;555;380;169;80;126;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nigeria;Production;Tantale;1;4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Portugal;Production;Tantale;9;5;3;7;3;4;9;6;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rhodesia;Production;Tantale;23;19;30;31;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rwanda;Production;Tantale;47;45;94;54;47;60;57;62;50;52;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Production;Tantale;;;;45;34;51;58;54;47;32;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thailand;Production;Tantale;7;40;115;64;382;213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thailand;Production;Tantale;;;;;;;49;39;549;477;432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thailand;Production;Tantale;;0;0;0;231;301;44;10;275;30;309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thailand;Production;Tantale;103;7;41;0;25;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ouganda;Production;Tantale;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
République démocratique du Congo;Production;Tantale;90;79;113;47;78;102;80;53;51;100;158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zimbabwe;Production;Tantale;;;;;;41;45;36;35;59;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algerie;Production;Argent;3732;2500;1250;2500;3100;3100;3400;3400;3700;3700;3700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Production;Argent;72046;69993;76225;63466;68714;73309;78326;83489;77767;61698;67500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australie;Production;Argent;726218;778658;856110;812524;832210;766816;743557;906863;1032895;972303;1085933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivie;Production;Argent;155702;176914;183098;200284;178592;189715;205332;170195;187399;141840;111352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brézil;Production;Argent;7323;626;11583;15723;33579;24394;19300;23625;15112;25796;55263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bulgarie;Production;Argent;25000;28000;25000;28000;25000;24000;23000;25000;25000;26000;26000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Myanmar;Production;Argent;23300;21800;24600;25000;30700;29700;24100;16400;17400;17900;17700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;Production;Argent;1234642;1281437;1313685;1266927;1146908;1069635;1129394;1313630;1197031;1326720;1197072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chili;Production;Argent;193960;228350;263179;255374;271836;298545;361107;382188;468276;490365;517333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chine;Production;Argent;30000;30000;50000;55000;60000;60000;65000;70000;80000;80000;100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colombie;Production;Argent;2727;3288;2829;2388;3090;4714;4440;4232;3078;4044;4768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Slovaquie;Production;Argent;37000;37000;37000;36000;35000;35000;35000;33000;30000;32000;32000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
République dominicaine;Production;Argent;3390;28212;57617;57495;70797;50480;63255;68357;41342;37557;49184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Équateur;Production;Argent;1152;1471;1776;900;1100;900;1000;313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El Salvador;Production;Argent;5591;5088;3484;5754;4715;4547;4261;2666;684;677;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fidji;Production;Argent;871;615;457;323;324;214;260;576;412;520;442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finlande;Production;Argent;23160;24051;33002;31271;42408;48024;61702;42402;45008;52610;48704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Production;Argent;48790;84632;93449;85667;74935;73772;53059;30768;23966;25259;26413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allemagne;Production;Argent;55000;50000;50000;50000;48000;47000;45000;45000;43000;40000;61000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allemagne;Production;Argent;33600;32000;33000;33800;36700;37700;39300;39700;36300;38100;34300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ghana;Production;Argent;;;;;;;;;435;435;435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grèce;Production;Argent;29800;57400;33300;42300;54500;52000;60500;49200;55900;57000;50700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groenland;Production;Argent;12400;14900;16200;17400;17800;16800;15200;15000;12300;10300;10400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Honduras;Production;Argent;118258;99036;87683;84236;64569;54935;56697;52221;77600;89068;85936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hongrie;Production;Argent;;;;;;1100;1000;500;500;500;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inde;Production;Argent;2582;3183;13228;12083;11515;11377;17298;14405;15792;24886;25587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonésie;Production;Argent;4758;3397;22700;25600;25100;19956;23368;32039;32430;33320;38327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iran;Production;Argent;;;;;;;;0;10000;20000;20000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ireland;Production;Argent;39200;29000;29100;19600;32900;24000;28000;3600;9900;8670;8600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Italie;Production;Argent;36368;48403;37543;30708;33121;42499;55344;55737;73450;48338;71572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Japon;Production;Argent;243625;259457;285673;281640;270725;247741;270800;294674;307216;323575;339485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corée du Sud;Production;Argent;46780;57793;65512;43073;61830;63169;84137;76623;66557;76353;68926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corée du Nord;Production;Argent;55000;50000;50000;50000;48000;45000;275000;280000;300000;285000;270000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malaisie;Production;Argent;;;12752;14266;13453;13604;14708;16202;15092;14653;16249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mexique;Production;Argent;1182822;1326243;1462798;1579393;1536772;1472557;1654829;1550221;1910839;1986690;2152959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maroc;Production;Argent;26837;21066;21739;80000;83000;81400;83600;81700;103000;104000;108000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Namibie;Production;Argent;43500;34200;42700;46100;112600;104700;107500;87500;93000;96000;98000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nouvelle-Zélande;Production;Argent;62;16;236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nicaragua;Production;Argent;10100;6345;4774;15000;12143;5103;4359;2350;1973;1600;923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oman;Production;Argent;;;;;;;0;0;0;2800;1900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papouasie-Nouvelle-Guinée;Production;Argent;44638;45803;47704;52820;44877;37198;42562;43363;47597;45608;51967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Perou;Production;Argent;1058350;1117325;1235767;1151500;1220800;1337100;1387200;1692100;1570000;1651000;1915002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Philippines;Production;Argent;50373;46053;50429;51014;57167;60715;62943;61724;56696;48956;52416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pologne;Production;Argent;450000;550000;644000;680000;702000;766000;640000;657000;678000;744000;831000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Portugal;Production;Argent;774;881;801;703;1095;861;714;732;631;693;624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rhodesia;Production;Argent;7533;6228;6442;34505;30418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roumanie;Production;Argent;47000;38000;35000;32000;30000;28000;25000;25000;25000;24000;25000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afrique du sud;Production;Argent;95923;87736;97364;96559;100664;232000;236963;219197;202374;218981;209367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Russie;Production;Argent;1340000;1370000;1550000;1570000;1550000;1550000;1580000;1595000;1600000;1600000;1620000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Production;Argent;107218;103816;72146;73841;71348;184643;218089;116176;214940;289624;366939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suède;Production;Argent;140442;143617;169153;263556;175699;165988;184504;184511;204046;235262;231483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Taiwan;Production;Argent;193;3109;2112;2343;2656;2957;6683;15679;10739;11330;11386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tunisie;Production;Argent;9095;7850;7351;1962;3170;7332;2621;3562;2803;1660;804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turquie;Production;Argent;;;;;7800;6500;8600;8700;6800;7000;16800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
États-Unis;Production;Argent;1086706;1067752;1187114;1225050;1178710;1005579;1265418;1251895;1350885;1386988;1226531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Royaume-Uni;Production;Argent;4354;3345;4166;1272;0;1373;3278;3280;2635;2558;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Serbie;Production;Argent;143595;144000;145500;159392;162181;148791;137516;103976;123903;128167;156451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
République démocratique du Congo;Production;Argent;88990;71300;84900;89100;91700;78756;80119;59176;39501;37780;42772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zambie;Production;Argent;31100;33100;24903;33261;28417;23752;22219;27599;29027;24736;18873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zimbabwe;Production;Argent;;;;;;29681;26655;28552;29081;27837;24851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;Production;Or;31;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Production;Or;;181;171;174;315;341;459;632;767;688;882;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australie;Production;Or;16386;15637;19417;20142;18566;17035;18374;26961;30591;40309;58521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivie;Production;Or;1649;896;431;770;948;1620;2064;1249;1531;1270;561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botswana;Production;Or;;;;;;0;10;15;11;18;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brézil;Production;Or;5351;4922;5355;9359;4460;13752;17276;25517;53684;37218;29673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Burkina Faso;Production;Or;;;;;;;;;0;700;1600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Burundi;Production;Or;11;13;17;10;4;4;3;3;11;35;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cambodge;Production;Or;15;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cameroun;Production;Or;3;8;6;6;5;2;10;4;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;Production;Or;51433;52621;53921;53967;51142;50620;52034;64735;73512;83446;87561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
République centrafricaine;Production;Or;;;3;30;68;62;43;47;95;236;249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chili;Production;Or;3997;4017;3620;3182;3465;6836;12456;16907;17759;16829;17240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chine;Production;Or;1500;2500;28000;34000;40000;45000;50000;56000;57000;59000;60600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colombie;Production;Or;9624;9274;7996;7666;8379;15877;16461;14702;13642;24880;35533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
République du Congo;Production;Or;216;218;18;6;3;2;4;3;8;3;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Costa Rica;Production;Or;560;300;400;500;520;560;620;985;775;595;1073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
République dominicaine;Production;Or;6080;12871;10661;10663;10979;11496;12685;12016;11012;10522;10219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Équateur;Production;Or;254;343;244;80;70;70;73;1207;1200;1800;2400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El Salvador;Production;Or;271;95;67;113;85;78;121;103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ethiopie;Production;Or;621;842;290;240;248;373;371;492;463;662;918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
