Pays;Type;Metal;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Ouganda;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;0;0;3;11;6;16;;;;;;;;;;;;;;;
Zimbabwe;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;1;6;3;4;30;26;231;27;;;;;;;;;;;;;;
Belgique;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;30;;;;;;;;;;;
Brézil;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;50;;;;;;;;;;;
Chine;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;370;;;;;;;;;;;
Allemagne;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;10;;;;;;;;;;;
Italie;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;;;;;;
Japon;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;60;;;;;;;;;;;
Corée du Sud;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;100;;;;;;;;;;;
Pays-Bas;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;;;;;;
Perou;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;5;;;;;;;;;;;
Russie;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;3;;;;;;;;;;;
Royaume-Uni;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;;;;;;
Algerie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;1500;1500;1500;1500;1700;1400;500;0;800;500;500;;;;;;;;;;;
Argentine;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;52550;35768;73785;78271;152802;125878;133907;172400;263766;245124;255567;;;;;;;;;;;
Armenie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;5500;4000;4000;4000;4000;6900;;;;;;;;;;;
Australie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;1106000;1473000;1715000;2059000;1970000;2077000;1868000;2209000;2416646;1727856;1878620;;;;;;;;;;;
Azerbaijan;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
Bolivie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;387200;403961;422540;433590;409720;460900;466300;412550;420300;472210;525000;;;;;;;;;;;
Brézil;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;10000;10000;10000;10000;10000;10000;6496;6192;6672;10000;18620;;;;;;;;;;;
Bulgarie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;31530;23790;58726;54534;56806;60000;60000;45000;55000;65000;55000;;;;;;;;;;;
Burkina Faso;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;100;;;;;;;;;;;
Myanmar;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;4040;3643;2159;2019;700;800;800;1100;2300;700;200;;;;;;;;;;;
Canada;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;1223953;1195943;1246357;1212386;1320030;1407558;1310153;1337465;1123837;995024;860449;;;;;;;;;;;
Chili;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;1091311;1340199;1380711;1242194;1348667;1210473;1312789;1360140;1399539;1607164;1936465;;;;;;;;;;;
Chine;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;1300000;1299000;1378714;1569145;2013250;2200000;2400000;2450000;2500000;2600000;2700000;;;;;;;;;;;
Colombie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;3515;5218;7593;7970;7242;6986;9511;8542;7142;8399;9766;;;;;;;;;;;
République démocratique du Congo;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;500;500;2100;35700;69700;53600;67600;76200;;;;;;;;;;;
Costa Rica;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;196;486;331;;;;;;;;;;;
République dominicaine;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;12407;7409;3140;;;;;;0;0;0;;;;;;;;;;;
Équateur;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;372;283;159;449;;;;;;;;;;;
Ethiopie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;200;500;689;1018;3545;900;999;1133;883;902;700;;;;;;;;;;;
Fidji;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;2654;1787;2159;1475;2109;1901;1247;1523;1418;494;0;;;;;;;;;;;
Finlande;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;10324;9753;11968;11946;13244;12647;10422;11720;;;;;;;;;;;
France;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;2402;1027;1140;723;929;709;495;682;;;;;;;;;;;;;;
Ghana;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;2700;3600;4000;2100;1900;2129;3080;3035;3571;3142;3300;;;;;;;;;;;
Grèce;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;37300;44000;38976;30644;62400;74800;7000;0;2300;24700;38300;;;;;;;;;;;
Groenland;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
Guatemala;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;7074;49719;88247;;;;;;;;;;;
Honduras;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;42809;42898;47853;53195;50840;56176;51985;48792;54165;55036;54982;;;;;;;;;;;
Inde;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;53925;55409;53641;46150;57675;59502;37870;10955;27961;53271;80697;;;;;;;;;;;
Indonésie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;279161;348974;292331;314032;348455;293520;285206;262935;328749;261398;268967;;;;;;;;;;;
Iran;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;20000;18800;21400;20000;20000;23000;23000;25000;25000;30000;40000;;;;;;;;;;;
ireland;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;13300;10800;10400;16700;8700;7500;8500;5200;10500;12900;9650;;;;;;;;;;;
Italie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;4400;2500;2000;1000;1000;1000;200;100;100;;;;;;;;;;;;;
Japon;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;87180;94472;93441;103587;82452;103203;99162;85999;54100;11500;4059;;;;;;;;;;;
Kazakhstan;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;389576;535987;645609;895077;943027;855612;804874;773300;883200;806083;722927;;;;;;;;;;;
Corée du Sud;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;0;58;6802;15417;50866;3500;1500;1400;;;;;;;;;;;
Corée du Nord;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;50000;50000;50000;50000;50000;50000;20000;20000;20000;20000;50000;;;;;;;;;;;
Laos;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;3850;2735;3405;6331;4499;;;;;;;;;;;
Malaisie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;9647;7285;2744;4;3;0;0;364;402;410;296;;;;;;;;;;;
Mexique;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;2674979;2686021;2466981;2620495;2759985;2746989;2568877;2569478;2894161;3028395;3135430;;;;;;;;;;;
Mongolie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;21000;21000;21000;21000;21000;21000;20471;20427;19888;20378;20455;;;;;;;;;;;
Maroc;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;261000;307000;277900;289000;280700;276800;200430;181000;185700;202300;177712;;;;;;;;;;;
Namibie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;41000;13980;0;9300;20396;43632;29367;27153;34102;31307;7902;;;;;;;;;;;
Nouvelle-Zélande;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;31684;22681;24308;22886;27118;28725;29932;30100;43003;27221;8553;;;;;;;;;;;
Nicaragua;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;1077;1946;1780;1589;2532;2198;2040;2950;2936;2929;3420;;;;;;;;;;;
Niger;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;201;100;139;;;;;;;;;;;
Macédoine du Nord;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;10000;10000;10000;23768;22216;36832;22195;0;0;10000;30000;;;;;;;;;;;
Oman;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81;111;4404;3863;;;;;;;;;;;
Panama;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;2178;2000;2000;;;;;;;;;;;;;;;;;;;
Papouasie-Nouvelle-Guinée;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;49165;59294;66542;79197;69368;63349;61900;53800;51125;51098;48677;;;;;;;;;;;
Perou;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;2090311;2024570;2231390;2437706;2673834;2761486;2910922;3059829;3193146;3470661;3493090;;;;;;;;;;;
Philippines;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;20744;18220;18214;23569;29590;8810;9533;9315;19150;23502;27754;;;;;;;;;;;
Pologne;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;1084200;1143690;1160355;1163600;1230700;1342000;1332200;1372700;1262400;1265100;1199500;;;;;;;;;;;
Portugal;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;33900;31880;26450;20430;23100;19500;21100;24603;23786;20078;26514;;;;;;;;;;;
Roumanie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;18000;18000;18000;18000;18000;18000;18000;18000;18000;18000;18000;;;;;;;;;;;
Russie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;395000;353000;380000;400000;400000;400000;700000;1276900;1350000;973500;911300;;;;;;;;;;;
Arabie saoudite;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;17200;13843;10472;9390;10000;10000;11000;14494;13501;9103;9028;;;;;;;;;;;
Serbie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2200;2300;;;;;;;;;;;
Serbie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;42640;34474;7643;9068;5745;6838;2028;2275;2600;;;;;;;;;;;;;
Slovaquie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65;74;50;;;;;;;;;;;
Îles Salomon;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;10;1466;2138;700;;;;;;;0;;;;;;;;;;;
Afrique du sud;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;144005;144482;151959;144100;109600;113108;87325;73124;89023;86951;70089;;;;;;;;;;;
Espagne;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;142520;99910;117735;114537;55000;12792;2173;3583;5227;2369;0;;;;;;;;;;;
Soudan;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;0;1600;3300;2800;2800;2600;2437;2405;;;;;;;;;;;
Suède;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;304048;299051;341584;328737;306029;320823;340701;319563;309933;292255;323171;;;;;;;;;;;
Tanzanie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;0;0;276;1384;6861;6690;7986;13216;12891;14906;12381;;;;;;;;;;;
Thailand;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;14013;11240;7727;;;;;;;;;;;
Tunisie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;100;2500;4000;3700;3650;3000;3000;2000;4000;;;;;;;;;;;;;
Turquie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;90000;87000;90000;193000;188000;124000;158000;122000;219000;266000;315000;;;;;;;;;;;
États-Unis;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;2180000;2064800;1950900;1980100;1740000;1354000;1239400;1246100;1225800;1155300;1281000;;;;;;;;;;;
Royaume-Uni;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;212;;;;;;;;;;;
Ouzbékistan;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;50000;50500;61100;60000;60000;60000;60000;60000;60000;62200;77800;;;;;;;;;;;
Zambie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;7219;6936;6076;6000;;;;;;;;;;;;;;;;;;
Zimbabwe;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;5923;6681;5396;3799;3344;3219;2483;3216;3400;1000;1100;;;;;;;;;;;
Algerie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;;0;369;365;597;641;377;236;;;;;;;;;;;
Argentine;Production;Or;;;;;;;;;;;;;;;;;;;;;;;2289;20400;38515;25954;30630;32530;29748;28496;27904;44131;42021;;;;;;;;;;;
Armenie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;500;294;405;900;1900;3200;1800;2112;1373;867;565;;;;;;;;;;;
Australie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;314090;310320;299750;296420;280080;266140;282000;259000;262156;246862;247355;;;;;;;;;;;
Azerbaijan;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;
Benin;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;
Bolivie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;13292;14444;11786;12000;12374;11269;9361;6165;8871;9628;8818;;;;;;;;;;;
Botswana;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;8;9;162;2709;3020;2722;;;;;;;;;;;
Brézil;Production;Or;;;;;;;;;;;;;;;;;;;;;;;52335;46031;51422;50393;42884;41662;40416;47596;38293;40075;49600;;;;;;;;;;;
Bulgarie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;1713;1660;1524;1720;1700;2612;2270;2431;3868;3818;3964;;;;;;;;;;;
Burkina Faso;Production;Or;;;;;;;;;;;;;;;;;;;;;;;1089;1091;886;625;229;209;780;1008;1397;1571;2250;;;;;;;;;;;
Myanmar;Production;Or;;;;;;;;;;;;;;;;;;;;;;;181;172;116;100;100;100;100;100;100;100;100;;;;;;;;;;;
Burundi;Production;Or;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;415;483;2855;3229;3905;4313;2423;;;;;;;;;;;
Cameroun;Production;Or;;;;;;;;;;;;;;;;;;;;;;;1000;1000;1000;1000;600;700;700;600;600;600;600;;;;;;;;;;;
Canada;Production;Or;;;;;;;;;;;;;;;;;;;;;;;171376;165599;157755;155538;160200;152059;141589;130727;120541;104448;102377;;;;;;;;;;;
République centrafricaine;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;41;15;;;;;15;10;;;;;;;;;;;;
Tchad;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;150;;;;;;;;;;;
Chili;Production;Or;;;;;;;;;;;;;;;;;;;;;;;49459;44980;48069;54143;42673;38688;38954;39986;40447;42100;41528;;;;;;;;;;;
Chine;Production;Or;;;;;;;;;;;;;;;;;;;;;;;181360;177620;165680;176910;181870;202000;210100;212350;255000;247500;275000;;;;;;;;;;;
Colombie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;18811;18813;34599;37018;21813;20823;46515;37738;35783;15683;15483;;;;;;;;;;;
République du Congo;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;75;60;35;30;;;;;;;;;;;;
République démocratique du Congo;Production;Or;;;;;;;;;;;;;;;;;;;;;;;394;152;207;52;;;8900;10500;7200;10300;5100;;;;;;;;;;;
Costa Rica;Production;Or;;;;;;;;;;;;;;;;;;;;;;;733;636;165;51;100;100;110;150;540;1850;1221;;;;;;;;;;;
Cuba;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;1000;1000;1000;547;;;;;;;;;;;;;;;
République dominicaine;Production;Or;;;;;;;;;;;;;;;;;;;;;;;2350;1421;651;;;;;;0;0;0;;;;;;;;;;;
Équateur;Production;Or;;;;;;;;;;;;;;;;;;;;;;;3069;1474;2026;2871;3005;2750;4819;5128;5338;5168;4588;;;;;;;;;;;
Égypte;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;
Guinée équatoriale;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;200;200;200;;;;;;;;;;;
Érythrée;Production;Or;;;;;;;;;;;;;;;;;;;;;;;612;573;534;264;107;0;;;25;45;87;;;;;;;;;;;
Ethiopie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;755;;2928;3206;3862;3670;3875;3490;3726;3828;4368;;;;;;;;;;;
Fidji;Production;Or;;;;;;;;;;;;;;;;;;;;;;;4671;3758;3881;3842;4907;3829;3517;4033;2793;1403;29;;;;;;;;;;;
Finlande;Production;Or;;;;;;;;;;;;;;;;;;;;;;;1900;2370;2770;1600;1700;1300;1200;1368;1303;1326;1479;;;;;;;;;;;
France;Production;Or;;;;;;;;;;;;;;;;;;;;;;;4953;3793;3567;2643;2512;1724;1470;0;;;;;;;;;;;;;;
Guyane française;Production;Or;;;;;;;;;;;;;;;;;;;;;;;3225;2735;2972;3376;4062;3290;3296;2759;2576;3083;2844;;;;;;;;;;;
Gabon;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;70;70;70;70;70;300;300;300;300;;;;;;;;;;;
Géorgie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;700;800;1587;2110;1880;2876;2386;1377;1620;2400;3100;;;;;;;;;;;
Ghana;Production;Or;;;;;;;;;;;;;;;;;;;;;;;54446;72003;78660;78399;70049;69575;70756;63139;66852;72323;83558;;;;;;;;;;;
Groenland;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;1560;1828;2324;1835;;;;;;;;;;;
Guatemala;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;4449;4500;4500;4500;4550;0;741;5036;7068;;;;;;;;;;;
Guinée;Production;Or;;;;;;;;;;;;;;;;;;;;;;;3713;7835;11710;15748;16256;16666;16631;11100;25097;16364;15303;;;;;;;;;;;
Guyana;Production;Or;;;;;;;;;;;;;;;;;;;;;;;13577;14146;13159;13525;14179;14104;12171;11478;5668;6405;7412;;;;;;;;;;;
Honduras;Production;Or;;;;;;;;;;;;;;;;;;;;;;;150;150;879;878;3553;4984;4494;3683;4439;4055;3012;;;;;;;;;;;
Inde;Production;Or;;;;;;;;;;;;;;;;;;;;;;;2636;2683;2442;2615;2810;3153;3457;3526;3047;2488;2969;;;;;;;;;;;
Indonésie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;89979;124019;129032;127192;166090;142238;141019;92936;143205;93176;117854;;;;;;;;;;;
Iran;Production;Or;;;;;;;;;;;;;;;;;;;;;;;684;822;760;765;770;650;500;900;275;850;252;;;;;;;;;;;
Italie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;331;1117;894;820;522;631;100;;;;;;;;;;;;;;;
Côte d'Ivoire;Production;Or;;;;;;;;;;;;;;;;;;;;;;;2419;3400;2967;3444;3672;3570;1313;1219;1638;1323;1243;;;;;;;;;;;
Jamaïque;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;44;214;159;146;20;;;;;;;;;;;;;;
Japon;Production;Or;;;;;;;;;;;;;;;;;;;;;;;8384;8601;9399;8473;8162;8563;8122;7936;8319;8904;8869;;;;;;;;;;;
Kazakhstan;Production;Or;;;;;;;;;;;;;;;;;;;;;;;9659;8929;9655;11529;15226;10959;19266;19261;17875;21824;22564;;;;;;;;;;;
Kenya;Production;Or;;;;;;;;;;;;;;;;;;;;;;;440;388;990;1243;1545;1477;1543;567;616;432;3023;;;;;;;;;;;
Corée du Sud;Production;Or;;;;;;;;;;;;;;;;;;;;;;;611;;;13;10;188;528;233;260;277;162;;;;;;;;;;;
Corée du Nord;Production;Or;;;;;;;;;;;;;;;;;;;;;;;500;500;;;;;2000;2000;2000;2000;2000;;;;;;;;;;;
Kirghizistan;Production;Or;;;;;;;;;;;;;;;;;;;;;;;16860;21311;20200;22000;24670;17000;22476;21395;16751;10300;10600;;;;;;;;;;;
Laos;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;5140;4392;6338;6068;4161;;;;;;;;;;;
Liberia;Production;Or;;;;;;;;;;;;;;;;;;;;;;;500;800;25;25;;;;110;25;9;311;;;;;;;;;;;
Madagascar;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;;294;2802;10;40;10;30;;;;;;;;;;;;
Malaisie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;4487;3394;3449;4026;3965;4289;4739;4221;4250;3496;2913;;;;;;;;;;;
Mali;Production;Or;;;;;;;;;;;;;;;;;;;;;;;16323;20562;23688;28717;41273;56019;45529;37911;49230;58382;52753;;;;;;;;;;;
Mauritanie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;322;2332;;;;;;;;;;;
Mexique;Production;Or;;;;;;;;;;;;;;;;;;;;;;;25317;25426;23755;26375;23543;21324;20406;21818;26782;35899;39355;;;;;;;;;;;
